sku_name,sales_2021,sales_2022,sales_difference
PNG_Always_10000153-Lahore,5,0,-5
PNG_Pampers_10003449-Karachi,5,0,-5
PNG_Pampers_10004047-Lahore,5,0,-5
R&I_Generator 2.5KVG,5,0,-5
Samsung GALAXY NOTE-5,5,0,-5
Samsung Galaxy A5 A510F (2016,5,0,-5
Tmall_MM-DR-MK,5,0,-5
Vouch 365 2016,5,0,-5
cr_PUMPKIN SEEDS LARGE,5,0,-5
crest_Pelikano Junior Fountain Pen,7,2,-5
greenroot_Dry Hair Oil,5,0,-5
madinah_Pine nut (Chilgoza,5,0,-5
samsungGALAXY NOTE-5 LTE 32GB,5,0,-5
samsung_50 J5500,5,0,-5
samsung_K6000 49  ,12,7,-5
shoppingmania_Gold Rhinestone Heart Drop Necklace & Earrings,5,0,-5
sony_SLT-A58K,5,0,-5
vitamin_Royal Jelly 500,5,0,-5
Al Muhafiz Multani Sohan Halwa Ticky Pack,4,0,-4
Aladdin_BBQ_Skewers_6,4,0,-4
Am-PTV_VC-1029-M,4,0,-4
C-tee_Pack of 3 Independence Day Kids T-Shirts-M,4,0,-4
Fmate_Moong Daal Halwa,4,0,-4
Getiit_Joy,4,0,-4
Haier_HRF-355,4,0,-4
Haier_LE 32B8000,4,0,-4
Haier_LE 42B9000,4,0,-4
Honda_BikeCD70-Black,4,0,-4
ISN_Bundle,4,0,-4
Infinix Hot S Hazir-Grey-Grey-Karachi,4,0,-4
JBS_IFAM-009,4,0,-4
Mono Cruiser _Grand,4,0,-4
PNG_Pampers_10003447-Lahore,4,0,-4
Paramount_9789670618623,4,0,-4
R&I_Generator 6KVG,4,0,-4
RT-02-RED-Double Duvet Cover Sheet Set-4 pcs,4,0,-4
RUB_Kemei_KM-580 A,5,1,-4
Rajesh_RAJ0371,4,0,-4
Relaxsit_RS-56,4,0,-4
Samsung Galaxy S6 Edge Plus,4,0,-4
Samsung_32J4003,4,0,-4
Sapphire_US0432,4,0,-4
The Vitamin Company Kojic Acid Whitening Cream 40GM,4,0,-4
Tmall_ASA317,4,0,-4
UK_ Cake Rusk Original 350 Gms,4,0,-4
apple_MACMINI 1.4 GHZ DUAL CORE i5,4,0,-4
apple_MACMINI 2.3GHZ DUAL CORE i5,4,0,-4
babyw_2949,4,0,-4
coleman_Red Excursion Cooler 9 QTR,4,0,-4
cr_PISTA SALTED-200 GM,4,0,-4
dawlance_DWF-1600A,4,0,-4
duma_4561253300294,4,0,-4
edukaan_7159-A4 - 300 Pages,4,0,-4
greenroot_Men Taur Ultra ,4,0,-4
haier_HSU-18LK-E8,4,0,-4
interwood_HF-01NOR-MW-40672,4,0,-4
pak_ B-6,4,0,-4
redspot_9789696230151,4,0,-4
sanasafinaz_march16_2A-Nationwide Delivery,4,0,-4
shahi_Pack of 3 Shahi Chewra ,4,0,-4
sockoye_QG in Quarter Grey,4,0,-4
